NORAD_CAT_ID,OBJECT_NAME,TLE_LINE1,TLE_LINE2,EPOCH
67566,STARLINK-36394,1 67566C 26016F   26210.09006944 -.00014267  00000+0 -44290-3 0  2107,2 67566  97.2845 269.4675 0000530 181.2502 124.9345 15.33445571    10,2026-07-29 04:38:21
67567,STARLINK-36352,1 67567C 26016G   26210.06993056 -.00009220  00000+0 -28624-3 0  2100,2 67567  97.2843 269.5255 0000286 104.8064 270.2705 15.33442308    16,2026-07-29 04:38:21
67568,STARLINK-36435,1 67568C 26016H   26210.09145833  .00006872  00000+0  21332-3 0  2103,2 67568  97.2843 269.5723 0001452  85.7475 108.0993 15.33435452    15,2026-07-29 04:38:21
67569,STARLINK-36575,1 67569C 26016J   26210.08312500 -.00013592  00000+0 -42190-3 0  2104,2 67569  97.2847 270.4966 0000469  94.3167 105.4048 15.33447739    14,2026-07-29 04:38:21
67570,STARLINK-36562,1 67570C 26016K   26210.07062500 -.00022487  00000+0 -69812-3 0  2100,2 67570  97.2842 269.5329 0000527  98.9270 294.9909 15.33447638    11,2026-07-29 04:38:21
67571,STARLINK-36578,1 67571C 26016L   26210.11506944 -.00019570  00000+0 -60757-3 0  2109,2 67571  97.2844 269.4857 0000594 192.2012 236.9014 15.33446580    13,2026-07-29 04:38:21
67572,STARLINK-36350,1 67572C 26016M   26210.07479167  .00009910  00000+0  30763-3 0  2100,2 67572  97.2844 269.4718 0000485  82.6250 184.2694 15.33435530    17,2026-07-29 04:38:21
67573,STARLINK-36588,1 67573C 26016N   26210.06993056  .00012141  00000+0  37694-3 0  2108,2 67573  97.2844 269.4605 0000475  77.4613 147.6229 15.33428986    11,2026-07-29 04:38:21
67574,STARLINK-36594,1 67574C 26016P   26210.10187500 -.00025178  00000+0 -78159-3 0  2100,2 67574  97.2842 269.5699 0000149 120.8734 100.4268 15.33453192    16,2026-07-29 04:38:21
67575,STARLINK-36400,1 67575C 26016Q   26210.11645833 -.00009096  00000+0 -28233-3 0  2109,2 67575  97.2843 269.5398 0001007  86.7649 109.9957 15.33446358    18,2026-07-29 04:38:21
67576,STARLINK-36591,1 67576C 26016R   26210.07131944  .00000707  00000+0  21935-4 0  2109,2 67576  97.2843 269.5209 0000738  79.1288 288.6105 15.33436825    13,2026-07-29 04:38:21
